id,nationality
4,Afghan
8,Albanian
12,Algerian
16,American
20,Andorran
24,Angolan
28,Citizen of Antigua and Barbuda
31,Azerbaijani
32,Argentine
36,Australian
40,Austrian
44,Bahamian
48,Bahraini
50,Bangladeshi
51,Armenian
52,Barbadian
56,Belgian
60,Bermudian
64,Bhutanese
68,Bolivian
70,Citizen of Bosnia and Herzegovina
72,Botswanan
76,Brazilian
84,Belizean
90,Solomon Islander
96,Bruneian
100,Bulgarian
104,Burmese
108,Burundian
112,Belarusian
116,Cambodian
120,Cameroonian
124,Canadian
132,Cape Verdean
136,Cayman Islander
140,Central African
144,Sri Lankan
148,Chadian
152,Chilean
156,Chinese
158,Taiwanese
170,Colombian
174,Comoran
178,Congolese (Congo)
180,Congolese (DRC)
184,Cook Islander
188,Costa Rican
191,Croatian
192,Cuban
196,Cypriot
203,Czech
204,Beninese
208,Danish
212,Dominican
214,Citizen of the Dominican Republic
218,Ecuadorean
222,Salvadorean
226,Equatorial Guinean
231,Ethiopian
232,Eritrean
233,Estonian
234,Faroese
242,Fijian
246,Finnish
250,French
262,Djiboutian
266,Gabonese
268,Georgian
270,Gambian
275,Palestinian
276,German
288,Ghanaian
292,Gibraltarian
296,Citizen of Kiribati
300,Greek
304,Greenlandic
308,Grenadian
316,Guamanian
320,Guatemalan
324,Guinean
328,Guyanese
332,Haitian
340,Honduran
344,Hong Konger
348,Hungarian
352,Icelandic
356,Indian
360,Indonesian
364,Iranian
368,Iraqi
372,Irish
376,Israeli
380,Italian
384,Ivorian
388,Jamaican
392,Japanese
398,Kazakh
400,Jordanian
404,Kenyan
408,North Korean
410,South Korean
414,Kuwaiti
417,Kyrgyz
418,Lao
422,Lebanese
426,Mosotho
428,Latvian
430,Liberian
434,Libyan
438,Liechtenstein citizen
440,Lithuanian
442,Luxembourger
446,Macanese
450,Malagasy
454,Malawian
458,Malaysian
462,Maldivian
466,Malian
470,Maltese
474,Martiniquais
478,Mauritanian
480,Mauritian
484,Mexican
492,Monegasque
496,Mongolian
498,Moldovan
499,Montenegrin
500,Montserratian
504,Moroccan
508,Mozambican
512,Omani
516,Namibian
520,Nauruan
524,Nepalese
528,Dutch
548,Citizen of Vanuatu
554,New Zealander
558,Nicaraguan
562,Nigerien
566,Nigerian
570,Niuean
578,Norwegian
583,Micronesian
584,Marshallese
585,Palauan
586,Pakistani
591,Panamanian
598,Papua New Guinean
600,Paraguayan
604,Peruvian
608,Filipino
616,Polish
620,Portuguese
624,Guinea-Bissau
626,East Timorese
630,Puerto Rican
634,Qatari
642,Romanian
643,Russian
646,Rwandan
654,St Helenian
659,Kittitian
660,Anguillan
662,St Lucian
670,Vincentian
674,Sammarinese
678,Sao Tomean
682,Saudi Arabian
686,Senegalese
688,Serbian
690,Citizen of Seychelles
694,Sierra Leonean
702,Singaporean
703,Slovak
704,Vietnamese
705,Slovenian
706,Somali
710,South African
716,Zimbabwean
724,Spanish
728,South Sudanese
736,Sudanese
740,Surinamese
748,Swazi
752,Swedish
756,Swiss
760,Syrian
762,Tajik
764,Thai
768,Togolese
776,Tongan
780,Trinidadian
784,Emirati
788,Tunisian
792,Turkish
795,Turkmen
796,Turks and Caicos Islander
798,Tuvaluan
800,Ugandan
804,Ukrainian
807,Macedonian
818,Egyptian
826,British
834,Tanzanian
854,Burkinan
858,Uruguayan
860,Uzbek
862,Venezuelan
876,Wallisian
882,Samoan
887,Yemeni
894,Zambian
995,Kosovon
999,Unknown
